L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A,AB,B,BC,C,D,F,S,,U,CR,N,P,,I,,NW,NR,Other,,,,,
Introduction to Optimization,524 001,45,2.856,26.7,11.1,28.9,8.9,13.3,4.4,6.7,0,0,0,0,0,,0,0,0,0,,,,,,,
Linear Programming Methods,525 001,13,2.885,23.1,23.1,15.4,15.4,15.4,0,7.7,0,0,0,0,0,,0,0,0,0,,,,,,,
Thry&Appl of Pattrn Recgntn,532 001,57,3.386,33.3,28.1,26.3,7,5.3,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
Computational Photography,534 001,80,3.244,37.5,25,18.8,1.3,11.3,5,1.3,0,0,0,0,0,,0,0,0,0,,,,,,,
Intro-Progm Langs&Compilers,536 001,88,3.017,13.6,29.5,26.1,14.8,13.6,1.1,1.1,0,0,0,0,0,,0,0,0,0,,,,,,,
Intro to Operating Systems,537 001,190,3.154,36.8,16.8,17.4,13.2,11.6,0,3.2,0,0,0,0,0,,0,0,0.5,0.5,,,,,,,
,540 001,125,3.204,33.6,17.6,27.2,8.8,8.8,3.2,0.8,0,0,0,0,0,,0,0,0,0,,,,,,,
,540 002,84,3.159,25,25,20.2,17.9,7.1,1.2,1.2,1.2,0,0,0,0,,1.2,0,0,0,,,,,,,
Intro-Artificl Intelligence,Course Total,209,3.186,30.1,20.6,24.4,12.4,8.1,2.4,1,0.5,0,0,0,,0,0.5,0,0,0,,,,,,,
Intro-Computer Architecture,552 001,15,3,13.3,20,33.3,20,13.3,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
Computer Graphics,559 001,63,3.156,30.2,20.6,22.2,12.7,4.8,4.8,1.6,0,0,0,0,0,,3.2,0,0,0,,,,,,,
,564 001,77,3.195,22.1,32.5,27.3,11.7,3.9,0,2.6,0,0,0,0,0,,0,0,0,0,,,,,,,
,564 002,65,3.188,35.4,15.4,27.7,9.2,7.7,4.6,0,0,0,0,0,0,,0,0,0,0,,,,,,,
,564 003,75,3.887,90.7,4,4,0,0,0,1.3,0,0,0,0,0,,0,0,0,0,,,,,,,
Database Mgt Systems,Course Total,217,3.414,49.8,17.5,19.4,6.9,3.7,1.4,1.4,0,0,0,0,,0,0,0,0,0,,,,,,,
Introduction to Bioinformatics,576 001,47,3.068,29.8,23.4,12.8,6.4,10.6,10.6,0,0,0,0,0,0,,2.1,0,4.3,0,,,,,,,
,577 001,100,2.96,19,15,25,27,9,4,0,0,0,0,0,0,,0,1,0,0,,,,,,,
,577 002,80,3.006,18.8,22.5,27.5,16.3,10,3.8,1.3,0,0,0,0,0,,0,0,0,0,,,,,,,
Introduction to Algorithms,Course Total,180,2.98,18.9,18.3,26.1,22.2,9.4,3.9,0.6,0,0,0,0,,0,0,0.6,0,0,,,,,,,
Virtual Reality,579 001,22,3.841,77.3,13.6,9.1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
,638 001,84,3.921,86.9,6,4.8,0,0,0,0,2.4,0,0,0,0,,0,0,0,0,,,,,,,
,638 002,13,3.923,84.6,15.4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
Undergrad Topics-Computing,Course Total,97,3.921,86.6,7.2,4.1,0,0,0,0,2.1,0,0,0,,0,0,0,0,0,,,,,,,
Intro to Computer Networks,640 001,75,3.128,30.7,18.7,21.3,14.7,6.7,6.7,0,1.3,0,0,0,0,,0,0,0,0,,,,,,,
Senior Honors Thesis,682 090,1,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 003,3,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 006,7,4,100,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
,699 007,1,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 011,1,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 012,2,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 021,1,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 029,4,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 082,2,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 097,1,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 101,8,4,100,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
,699 115,2,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
,699 129,1,***,,,,,,,,,,0,0,0,,0,0,0,0,,,,,,,
Directed Study,Course Total,33,3.984,97,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,
Construction of Compilers,701 001,15,3.6,26.7,66.7,6.7,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
Analysis of Software Artifacts,706 001,12,3.25,41.7,8.3,25,8.3,16.7,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
Mobile and Wireless Networking,707 001,20,3.475,35,25,40,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
L&S,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER SCIENCES,Section,#,Ave,A,AB,B,BC,C,D,F,S,U,CR,N,P,I,NW,NR,Other,,,,,,,,
266 COMP SCI,Grades,,GPA,,,,,,,,,,,,,,,,,,,,,,,,
Methods of Computatnl Math I,714 001,8,3.625,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Stochastic Programming,719 001,15,3.929,80,13.3,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,,,,,,,,
Nonlinear Optimization I,726 001,31,3.355,19.4,45.2,22.6,12.9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Convex Analysis,727 001,12,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Advanced Operating Systems,736 001,12,3.583,41.7,41.7,8.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Distributed Systems,739 001,47,3.84,68.1,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Real-time Computing Systems,750 001,7,3.643,57.1,14.3,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Adv Computer Architecture I,752 001,12,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Adv Topics-Comptr Architecture,758 001,11,3.455,63.6,0,27.3,0,0,9.1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Machine Learning,760 001,91,3.659,58.2,22,18.7,0,0,0,1.1,0,0,0,0,0,0,0,0,0,,,,,,,,
Topics-Database Mgt Systems,764 001,25,3.76,64,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
